name,minutes,goals,assists,age,yellow,red
C. Raimondi,234,0,0,35,2,0
L. Spinazzola,587,0,0,23,0,0
E. Latte Lath,0,0,0,17,0,0
A. Paloschi,369,0,0,26,0,0
A. Pešić,17,0,0,24,0,0
A. Petagna,692,3,2,21,0,0
M. Pinilla,157,1,0,32,2,0
L. Borrelli,0,0,0,18,0,0
F. Marchetti,810,0,0,33,0,0
T. Strakosha,360,0,0,21,0,0
I. Vargić,0,0,0,29,0,0
D. Basta,685,0,1,32,1,0
Vinícius Freitas,0,0,0,23,0,0
S. de Vrij,681,1,0,24,1,0
Wallace,581,1,0,22,2,0
Patric,416,0,0,23,2,0
W. Hoedt,540,1,0,22,0,0
J. Lukaku,267,0,0,22,1,0
F. Prce,1,0,0,20,0,0
Bastos,316,0,0,25,2,0
Ş. Radu,879,1,1,30,6,0
Felipe Anderson,1010,2,4,23,4,0
L. Biglia,483,1,1,30,0,0
D. Cataldi,489,1,1,22,3,0
M. Leitner,13,0,0,23,0,0
S. Lulić,1000,2,3,30,1,0
S. Milinković-Savić,811,1,2,21,1,0
J. Minala,0,0,0,20,0,0
R. Morrison,0,0,0,23,0,0
A. Murgia,58,1,0,20,0,0
M. Parolo,1144,0,1,31,3,0
Luis Alberto,27,0,0,24,0,0
B. Keita,724,4,2,21,1,0
C. Immobile,1133,9,0,26,2,0
R. Kishna,117,0,0,21,0,0
C. Lombardi,109,1,0,21,0,0
M. Tounkara,0,0,0,20,0,0
F. Đorđević,216,0,0,29,0,0
G. Donnarumma,1530,0,0,17,2,0
A. Guarnone,0,0,0,17,0,0
A. Plizzari,0,0,0,16,0,0
Gabriel,0,0,0,24,0,0
I. Abate,1250,0,2,30,1,0
L. Antonelli,225,0,0,29,1,0
D. Calabria,280,0,0,20,2,0
M. De Sciglio,1226,0,1,24,2,0
R. Ely,0,0,0,23,0,0
G. Gómez,494,0,0,23,1,0
G. Paletta,1226,1,1,30,3,1
A. Romagnoli,1350,0,0,21,2,0
L. Vangioni,0,0,0,29,0,0
C. Zapata,0,0,0,30,0,0
A. Bertolacci,161,0,0,25,1,0
G. Bonaventura,1309,2,2,27,3,0
M. Fernández,80,0,0,30,0,0
K. Honda,96,0,0,30,0,0
J. Kucka,1060,1,1,29,5,0
M. Locatelli,909,2,0,18,4,0
R. Montolivo,600,0,0,31,2,0
M. Pašalić,435,1,0,21,2,0
A. Poli,249,0,0,27,1,0
J. Sosa,307,0,0,31,1,0
C. Bacca,933,6,1,30,1,0
P. Cutrone,0,0,0,18,0,0
Luiz Adriano,121,0,0,29,0,0
Suso,1425,5,6,23,1,0
G. Lapadula,490,4,0,26,2,0
M. Niang,1022,3,2,22,1,0
T. Berni,0,0,0,33,0,0
J. Carrizo,0,0,0,32,0,0
S. Handanovič,1170,0,0,32,1,0
I. Radu,0,0,0,19,0,0
M. Andreolli,0,0,0,30,0,0
C. Ansaldi,416,0,0,30,3,0
D. D'Ambrosio,630,0,0,28,1,0
S. Miangue,123,0,0,19,0,0
João Miranda,1170,0,0,32,2,0
J. Murillo,933,0,0,24,2,0
Y. Nagatomo,294,0,0,30,0,0
A. Ranocchia,200,0,0,28,1,0
D. Santon,867,0,0,25,1,0
E. Yao,0,0,0,20,0,0
É. Banega,799,1,2,28,1,0
M. Brozović,427,0,1,24,1,0
A. Gnoukouri,138,0,0,20,0,0
G. Kondogbia,400,0,1,23,2,0
G. Medel,812,0,0,29,3,0
Felipe Melo,20,0,0,33,0,0
João Mário,870,1,1,23,4,0
L. Zonta,0,0,0,19,0,0
Gabriel,16,0,0,20,0,0
J. Biabiany,0,0,0,28,0,0
A. Candreva,893,1,3,29,0,0
E. Martins,557,1,1,30,1,0
M. Icardi,1170,10,3,23,0,0
S. Jovetić,67,0,0,27,1,0
R. Palacio,60,0,1,34,0,0
I. Perišić,838,4,1,27,1,0
B. Drągowski,0,0,0,19,0,0
L. Lezzerini,50,0,0,21,0,0
G. Satalino,0,0,0,17,0,0
C. Tătărușanu,1480,0,0,30,0,0
D. Astori,1350,1,0,29,4,0
S. De Maio,180,0,0,29,1,0
K. Diks,2,0,0,20,0,0
M. Olivera,399,0,0,24,1,0
G. Rodríguez,1094,0,0,32,2,1
C. Salcedo,892,0,0,23,5,0
N. Tomović,908,0,1,29,7,0
M. Badelj,1190,1,2,27,5,0
F. Chiesa,225,0,1,19,0,0
S. Cristóforo,93,0,0,23,0,0
I. Hagi,14,0,0,18,0,0
J. Iličić,1092,3,4,28,0,0
F. Maistro,0,0,0,18,0,0
H. Milić,875,0,2,27,3,0
C. Sánchez,748,1,0,30,3,0
Borja Valero,1036,0,2,31,2,0
M. Vecino,747,0,0,25,2,0
F. Bernardeschi,1286,7,1,22,2,0
K. Babacar,391,3,0,23,0,0
N. Kalinić,1364,8,1,28,3,0
J. Perez,15,0,0,18,0,0
Cristian Tello,975,0,2,25,1,0
H. Toledo,0,0,0,20,0,0
M. Zárate,189,1,1,29,0,0
D. Coppola,0,0,0,17,0,0
T. Cucchietti,0,0,0,18,0,0
J. Hart,1350,0,0,29,2,0
D. Padelli,180,0,0,31,0,0
Arlind Ajeti,0,0,0,23,0,0
S. Auriletto,0,0,0,17,0,0
Danilo Avelar,0,0,0,27,0,0
A. Barreca,1138,0,1,21,2,0
C. Bovo,360,0,0,33,2,0
Leandro Castán,1080,0,0,30,3,0
L. De Silvestri,559,0,4,28,0,0
C. Molinaro,302,0,2,33,1,0
E. Moretti,540,0,0,35,2,0
L. Rossettini,1170,1,0,31,3,0
D. Zappacosta,1052,0,2,24,0,0
A. Acquah,431,0,0,24,2,0
M. Aramu,46,0,0,21,0,0
D. Baselli,999,4,3,24,3,0
M. Benassi,1149,4,2,22,2,0
J. Obi,405,0,1,25,1,0
Samuel Gustafson,0,0,0,21,0,0
S. Lukić,93,0,0,20,1,0
M. Valdifiori,1135,0,0,30,3,0
G. Vives,226,0,0,36,0,1
A. Belotti,1271,12,3,22,2,0
L. Boyé,574,0,2,20,3,0
M. De Luca,0,0,0,18,0,0
Iago Falqué,1021,8,3,26,0,0
A. Ljajić,930,5,3,25,2,0
M. López,249,0,0,32,1,0
J. Martínez,513,1,0,23,3,0
T. Krapikas,0,0,0,17,0,0
C. Puggioni,810,0,0,35,2,0
A. Tozzo,0,0,0,24,0,0
E. Viviano,720,0,0,31,3,0
Pedro Pereira,515,0,0,18,3,0
S. Amuzie,0,0,0,20,0,0
L. Krajnc,0,0,0,22,0,0
D. Pavlovic,226,0,0,28,2,0
Dodô,34,0,0,24,0,0
V. Regini,1530,0,3,26,2,0
J. Sala,1000,0,0,25,3,0
M. Silvestre,1440,0,1,32,2,0
M. Škriniar,1270,0,0,21,2,0
R. Álvarez,669,0,2,28,2,1
É. Barreto,1319,2,0,32,3,1
Bruno Fernandes,616,3,0,22,1,0
C. Carbonero,0,0,0,26,0,0
L. Cigarini,216,0,0,30,2,0
M. Eramo,4,0,0,27,0,0
K. Linetty,1162,0,3,21,3,0
A. Palombo,104,0,0,35,0,0
D. Praet,698,0,1,22,1,0
L. Torreira,1300,0,0,20,1,0
F. Đuričić,46,0,0,24,0,0
A. Budimir,244,0,0,25,0,0
A. Cassano,0,0,0,34,0,0
L. Muriel,1291,6,1,25,2,0
F. Quagliarella,1318,4,2,33,0,0
P. Schick,277,4,0,20,1,0
G. Vrioni,0,0,0,18,0,0
R. Colombo,0,0,0,41,0,0
L. Crosta,0,0,0,18,0,0
Rafael,272,0,0,34,0,0
M. Storari,1257,0,0,39,1,1
Vasco Oliveira,0,0,0,16,0,0
L. Bittante,309,0,0,23,3,0
I. Briukhov,0,0,0,18,0,0
M. Capuano,147,1,0,25,0,0
L. Ceppitelli,1260,0,0,27,3,0
A. Mastino,0,0,0,17,0,0
N. Murru,855,0,1,22,2,0
F. Pisacane,979,0,1,30,2,0
Bruno Alves,1530,1,0,35,2,0
B. Salamon,363,0,0,25,1,0
M. Volteggi,0,0,0,18,0,0
M. Antonini,0,0,0,18,0,0
N. Barella,808,0,0,19,4,0
R. Biancu,0,0,0,16,0,0
D. Dessena,421,2,0,29,4,1
D. Di Gennaro,877,2,4,28,3,0
João Pedro,213,1,1,24,0,0
A. Ioniţă,270,0,0,26,2,0
M. Isla,1255,0,3,28,5,0
G. Munari,341,0,0,33,5,0
S. Padoin,1343,1,1,32,4,0
N. Pennington,0,0,0,18,0,0
F. Serra,0,0,0,19,0,0
P. Tachtsidis,813,0,1,25,3,0
D. Arras,0,0,0,18,0,0
M. Borriello,1181,6,0,34,2,0
Diego Farias,400,1,0,26,2,0
N. Giannetti,221,0,0,25,0,0
F. Melchiorri,461,3,0,29,1,0
M. Sau,1111,3,3,29,3,0
A. Consigli,1530,0,0,29,1,0
G. Pegolo,0,0,0,35,0,0
A. Pomini,0,0,0,35,0,0
F. Acerbi,1530,2,0,28,2,0
C. Adjapong,170,0,0,18,1,0
L. Antei,770,1,0,24,3,0
P. Cannavaro,586,1,0,35,0,0
C. Dell'Orco,146,0,0,22,0,0
M. Erlić,0,0,0,18,0,0
M. Gazzola,764,0,1,31,2,0
T. Letschert,180,0,0,23,0,0
Pol Lirola,707,0,1,19,1,0
F. Peluso,1350,0,1,32,5,0
E. Terranova,171,0,0,29,0,0
D. Biondini,681,0,0,33,5,0
A. Duncan,348,0,1,23,0,0
S. Franchini,0,0,0,18,0,0
F. Magnanelli,1013,0,0,32,2,0
M. Marin,0,0,0,18,0,0
L. Mazzitelli,588,0,0,21,4,0
S. Missiroli,271,0,0,30,2,0
L. Pellegrini,978,2,3,20,3,0
S. Sensi,420,1,0,21,0,0
D. Berardi,174,2,0,22,0,0
S. Caputo,0,0,0,18,0,0
G. Defrel,1278,6,1,25,0,0
P. Iemmello,288,1,0,24,1,0
A. Matri,453,1,0,32,0,0
N. Pierini,0,0,0,18,0,0
M. Politano,983,2,2,23,1,0
A. Ragusa,666,2,1,26,2,0
F. Ricci,770,2,0,22,3,0
O. Karnezis,1530,0,0,31,3,0
S. Perisan,0,0,0,19,0,0
S. Scuffet,0,0,0,20,0,0
Ali Adnan,524,0,0,23,0,0
G. Angella,219,0,0,27,0,0
P. Armero,180,0,0,30,1,0
Samir,575,0,0,22,1,0
Felipe,1350,1,0,32,6,0
T. Heurtaux,348,0,1,28,3,0
Danilo,1440,2,0,32,5,0
M. Wagué,540,0,0,25,2,0
E. Agyemang-Badu,907,0,2,26,1,0
A. Balić,0,0,0,19,0,0
R. de Paul,918,0,1,22,2,0
Lucas Evangelista,94,0,0,21,0,0
D. Faraoni,28,0,0,25,1,0
S. Fofana,1069,4,1,21,0,0
E. Hallfreðsson,663,0,2,32,2,0
J. Jankto,479,1,1,20,0,0
P. Kone,300,0,0,29,1,0
S. Kums,1259,0,1,28,0,0
F. Lodi,11,0,0,32,0,0
S. Widmer,1052,0,4,23,1,0
P. Armenakas,0,0,0,18,0,0
Ewandro,15,0,0,20,0,0
Ryder Matos,222,0,0,23,0,0
A. Peñaranda,156,0,0,19,0,0
S. Perica,473,3,0,21,4,0
C. Théréau,1111,8,2,33,1,0
D. Zapata,1367,5,1,25,2,0
W. Bressan,0,0,0,35,0,0
A. Confente,0,0,0,18,0,0
A. Seculin,0,0,0,26,0,0
S. Sorrentino,1530,0,0,37,1,0
F. Cacciatore,1232,1,1,30,4,1
B. Cesar,370,0,0,34,4,0
F. Costa,0,0,0,21,0,0
D. Dainelli,1260,0,0,37,6,0
N. Frey,450,0,0,32,1,0
A. Gamberini,846,1,0,35,0,0
M. Gobbi,1350,1,0,36,3,0
G. Sardo,0,0,0,37,0,0
N. Spolli,584,0,0,33,4,0
S. Bastien,0,0,0,20,0,0
V. Birsa,1266,4,4,30,1,0
J. de Guzmán,566,0,0,29,2,0
F. Depaoli,0,0,0,19,0,0
P. Hetemaj,1007,0,0,30,4,0
M. Izco,413,0,0,33,0,0
S. Kiyine,0,0,0,19,0,0
L. Castro,1338,2,4,27,2,0
V. Parigini,22,0,0,20,0,0
I. Radovanović,1315,0,0,28,4,0
N. Rigoni,336,1,0,26,1,0
Emanuel Vignato,0,0,0,16,0,0
A. Floro Flores,509,0,0,33,0,0
R. Inglese,792,2,0,25,0,0
L. Jallow,14,0,0,22,0,0
R. Meggiorini,976,2,0,31,4,0
S. Pellissier,643,3,1,37,0,0
Angelo Da Costa,990,0,0,33,1,0
A. Gomis,0,0,0,23,0,0
M. Sarr,0,0,0,19,0,0
A. Mirante,540,0,0,33,0,0
F. Ravaglia,0,0,0,17,0,0
A. Ferrari,90,0,0,22,0,0
D. Gastaldello,1036,0,1,33,6,2
F. Helander,372,1,0,23,1,0
E. Krafth,703,0,0,22,1,1
I. M'baye,218,0,1,22,1,0
D. Maietta,973,0,0,34,1,0
A. Masina,1285,1,0,22,3,0
A. Morleo,24,0,0,33,0,0
M. Oikonomou,472,0,0,24,0,0
V. Torosidis,887,0,0,31,1,0
G. Donsah,115,0,0,20,0,0
B. Džemaili,1307,2,1,30,4,1
Á. Nagy,1040,0,1,21,2,0
E. Pulgar,537,1,0,22,4,0
L. Rizzo,345,0,0,24,0,0
S. Taïder,1147,1,0,24,1,0
F. Viviani,420,1,2,24,1,0
R. Acquafresca,0,0,0,29,0,0
M. Destro,1004,4,0,25,0,0
F. Di Francesco,311,1,0,22,1,1
S. Floccari,241,0,0,35,0,0
L. Krejčí,1270,1,3,24,0,0
A. Mounier,291,0,0,29,0,0
O. Okwonkwo,33,0,0,18,0,0
A. Tabacchi,0,0,0,18,0,0
S. Umar,172,0,1,19,2,0
S. Verdi,866,4,1,24,2,0
D. Faccioli,0,0,0,18,0,0
E. Lamanna,180,0,0,27,0,0
M. Perin,1350,0,0,24,1,1
L. Zima,0,0,0,22,0,0
D. Biraschi,1,0,0,22,1,0
D. Brivio,0,0,0,28,0,0
N. Burdisso,1530,0,0,35,1,0
I. Cissokho,0,0,0,31,0,0
R. Fiamozzi,104,0,0,23,0,0
S. Gentiletti,345,0,1,31,1,0
A. Izzo,1440,0,2,24,3,0
E. Muñoz,774,0,0,26,2,0
L. Orbán,521,0,0,27,3,1
Edenilson,550,0,2,27,3,0
I. Cofie,314,0,0,25,1,0
D. Laxalt,1398,1,2,23,3,0
D. Lazović,1024,1,2,26,3,0
N. Ninković,422,2,1,22,2,0
O. Ntcham,371,1,1,20,2,0
Miguel Veloso,1123,0,3,30,7,1
L. Rigoni,1265,2,1,32,5,0
T. Rincón,1306,0,2,28,4,0
L. Zanimacchia,0,0,0,18,0,0
Asencio,0,0,0,18,0,0
S. Gakpé,267,1,0,29,1,0
L. Ocampos,565,2,0,22,1,0
G. Pandev,295,0,0,33,0,1
L. Pavoletti,581,3,0,28,2,0
G. Simeone,1004,6,1,21,2,0
V. Cojocaru,0,0,0,21,0,0
A. Cordaz,1436,0,0,33,0,1
M. Festa,93,0,0,24,0,0
A. Viscovo,0,0,0,17,0,0
F. Ceccherini,1350,0,0,24,2,0
G. Cuomo,0,0,0,18,0,0
N. Dussenne,249,0,0,24,2,0
G. Ferrari,1530,1,0,24,4,0
Claiton,547,0,1,32,1,0
D. Mesbah,443,0,0,32,1,0
A. Rosi,991,1,1,29,5,0
M. Sampirisi,419,1,1,24,0,0
A. Barberis,640,0,0,23,1,0
G. Borello,0,0,0,17,0,0
L. Capezzi,975,0,0,21,4,0
L. Crisetig,868,0,0,23,6,0
N. Fazzi,6,0,0,21,0,0
E. Gnahoré,0,0,0,23,0,0
B. Martella,972,0,0,24,0,0
M. Nicoletti,0,0,0,18,0,0
M. Rohdén,1222,0,2,25,3,0
A. Salzano,500,0,0,25,0,0
C. Suljic,0,0,0,20,0,0
P. De Giorgio,9,0,0,33,0,0
D. Falcinelli,1339,5,2,25,1,0
A. Nalini,145,0,0,26,1,0
R. Palladino,1229,2,0,32,4,0
A. Stoian,423,1,1,25,2,0
S. Nwankwo,317,1,0,24,0,0
A. Tonev,336,0,0,26,1,0
M. Trotta,761,2,0,24,2,0
A. Pelagotti,180,0,0,27,1,0
M. Pugliesi,0,0,0,39,0,0
Ł. Skorupski,1080,0,0,25,0,0
F. Barba,259,0,0,23,1,0
G. Bellusci,1080,1,0,27,7,0
U. Ćosić,342,0,0,24,0,0
A. Costa,854,1,0,30,0,0
F. Dimarco,249,0,0,19,0,0
V. Laurini,367,0,0,27,0,1
M. Pasqual,990,0,2,34,3,0
F. Veseli,563,0,1,24,1,0
M. Zambelli,334,0,0,31,1,0
M. Büchel,339,0,0,25,1,0
D. Croce,982,0,0,34,1,0
A. El Hadji,667,0,0,19,3,0
R. Krunić,654,0,0,23,3,0
R. Maiello,60,0,0,25,0,0
J. Mauri,509,0,0,20,2,0
Matheus Pereira,5,0,0,18,0,0
R. Saponara,1108,2,1,24,3,0
A. Tello,558,0,0,20,4,0
A. Gilardino,500,0,0,34,1,0
M. Maccarone,699,2,1,37,1,1
G. Marilungo,275,0,0,27,0,0
L. Mchedlidze,103,0,0,26,0,0
M. Pucciarelli,1080,1,1,25,2,0
R. Tchanturia,0,0,0,20,0,0
A. Fulignati,0,0,0,22,0,0
S. Guddo,0,0,0,17,0,0
L. Marson,0,0,0,18,0,0
J. Posavec,1530,0,0,20,1,0
H. Aleesami,1530,0,2,25,4,0
S. Anđelković,989,0,1,30,3,0
S. Giuliano,0,0,0,19,0,0
E. Goldaniga,930,1,1,23,6,0
G. González,446,0,0,28,3,1
M. Morganella,223,0,0,27,1,0
G. Pezzella,149,0,0,19,1,0
A. Punzi,0,0,0,19,0,0
S. Rajković,299,0,0,27,1,0
T. Cionek,1089,0,0,30,4,0
A. Rispoli,1217,2,1,28,2,0
R. Vitiello,247,0,0,33,1,0
O. Bouy,36,0,0,23,1,0
I. Chochev,817,1,0,23,3,0
Bruno Henrique,808,0,1,27,0,0
A. Diamanti,871,0,3,33,5,0
A. Gazzi,994,0,0,33,2,0
O. Hiljemark,1053,0,0,24,1,0
M. Jajalo,624,1,1,28,1,0
R. Quaison,648,2,0,23,2,0
Carlos Embalo,309,0,0,22,0,0
N. Balogh,136,0,0,20,0,0
A. Bentivegna,90,0,0,20,0,0
S. Lo Faso,67,0,0,18,0,0
I. Nestorovski,1354,7,2,26,2,0
R. Sallai,352,0,0,19,2,0
A. Trajkovski,10,1,0,24,0,0
G. Aldegani,0,0,0,40,0,0
A. Bizzarri,1530,0,0,39,1,0
V. Fiorillo,0,0,0,26,0,0
M. Pigliacelli,0,0,0,23,0,0
C. Biraghi,1307,0,1,24,4,0
H. Campagnaro,1126,2,0,36,5,0
A. Coda,190,0,0,31,1,0
A. Crescenzi,910,0,1,25,1,0
F. Delli Carri,0,0,0,17,0,0
M. Fornasier,767,0,0,23,2,0
F. Forte,0,0,0,18,0,0
N. Gyömbér,589,0,0,24,3,0
L. Maloku,0,0,0,18,0,0
D. Vitturini,144,0,0,19,0,0
F. Zampano,1262,0,4,23,2,0
D. Župarić,235,0,0,24,1,0
A. Aquilani,551,1,1,32,2,0
Ahmed Benali,1089,1,0,24,1,0
G. Brugman,1255,0,0,24,5,0
A. Bruno,14,0,0,33,1,0
B. Cristante,784,0,0,21,0,0
P. D'Angelo,0,0,0,17,0,0
F. Mele,0,0,0,18,0,0
L. Memushaj,1263,1,0,30,1,0
S. Pepe,338,0,0,33,0,0
V. Verre,816,0,1,22,1,1
M. Acatullo,0,0,0,18,0,0
J. Bahebeck,130,1,0,23,0,0
N. Battista,0,0,0,18,0,0
G. Caprari,1516,3,1,23,3,0
F. Del Sole,0,0,0,18,0,0
R. Manaj,469,2,0,19,2,0
A. Mitriță,238,0,1,21,1,0
R. Murić,6,0,0,20,0,0
S. Pettinari,165,0,0,24,0,0
Kiko Casilla,540,0,0,30,1,0
K. Navas,720,0,0,29,0,0
Rubén Yáñez,0,0,0,23,0,0
Daniel Carvajal,945,0,1,24,6,0
Danilo,450,1,0,25,1,0
Fábio Coentrão,0,0,0,28,0,0
Nacho,560,0,1,26,2,0
Pepe,564,1,1,33,0,0
Sergio Ramos,702,3,0,30,4,0
Álvaro Tejero,0,0,0,20,0,0
R. Varane,946,1,1,23,0,0
Marcelo,873,1,2,28,0,0
Isco,594,2,2,24,2,0
Marco Asensio,376,2,0,20,0,0
Casemiro,223,0,0,24,1,0
M. Kovačić,924,0,0,22,0,0
T. Kroos,954,1,6,26,4,0
L. Modrić,610,1,1,31,0,0
J. Rodríguez,287,1,2,25,0,0
E. Fernández,0,0,0,21,0,0
M. Ødegaard,0,0,0,17,0,0
G. Bale,942,5,2,27,2,0
K. Benzema,640,4,1,28,0,0
M. Díaz,17,0,0,23,0,0
Cristiano Ronaldo,941,10,2,31,3,0
Álvaro Morata,534,4,2,24,3,0
Lucas Vázquez,518,0,2,25,1,0
J. Cillessen,90,0,0,27,0,0
Jordi Masip,0,0,0,27,0,0
M. ter Stegen,1170,0,0,24,1,0
Jordi Alba,725,0,3,27,2,0
L. Digne,616,0,0,23,2,0
Borja López,0,0,0,22,0,0
J. Mascherano,919,0,0,32,4,0
J. Mathieu,360,1,0,33,0,0
Piqué,990,2,0,29,1,0
Marlon,0,0,0,21,0,0
S. Umtiti,611,0,0,23,1,0
Rafinha,485,5,0,23,0,0
Carles Aleñà,0,0,0,18,0,0
Busquets,1061,0,1,28,4,0
Álex Carbonell,0,0,0,19,0,0
Iniesta,359,0,2,32,0,0
W. Kaptoum,0,0,0,20,0,0
Nili,0,0,0,22,0,0
I. Rakitić,865,2,1,28,1,0
Sergi Roberto,1080,0,4,24,2,0
Denis Suárez,599,0,2,22,1,0
André Gomes,611,0,0,23,0,0
A. Turan,739,2,3,29,0,0
Aleix Vidal,90,0,0,27,0,0
Paco Alcácer,268,0,0,23,0,0
Marc Cardona,0,0,0,21,0,0
Neymar,1077,4,6,24,5,0
L. Messi,934,11,3,29,3,0
L. Suárez,1091,10,3,29,6,0
Bernabé Barragán,0,0,0,23,0,0
André Moreira,0,0,0,21,0,0
Moyà,0,0,0,32,0,0
J. Oblak,1260,0,0,23,1,0
J. Giménez,216,0,0,21,1,0
D. Godín,1170,1,0,30,3,0
L. Hernández,263,0,0,20,1,0
Filipe Luis,1170,0,1,31,2,0
Alberto Rodríguez,0,0,0,20,0,0
S. Savić,960,0,1,25,1,0
Juanfran,1170,0,2,31,1,0
Š. Vrsaljko,90,0,0,24,0,0
Tiago,304,1,0,35,2,0
A. Cerci,0,0,0,29,0,0
A. Fernández,142,0,0,30,0,0
Gabi,1039,0,0,33,3,0
Y. Carrasco,887,6,2,23,0,0
N. Gaitán,348,2,0,28,0,0
Juan Moreno,0,0,0,19,0,0
Saúl,745,0,1,22,2,0
Roberto Olabe,0,0,0,20,0,0
Caio Henrique,0,0,0,19,0,0
T. Partey,40,0,0,23,2,0
Koke,1134,1,3,24,4,0
Á. Correa,591,3,4,21,4,0
K. Gameiro,858,6,3,29,0,0
A. Griezmann,1081,6,4,25,2,0
Roberto Nuñez,0,0,0,20,0,0
Fernando Torres,349,2,1,32,1,0
Churripi,0,0,0,22,0,0
Sergio Rico,990,0,0,23,0,0
S. Sirigu,178,0,0,29,0,1
David Soria,0,0,0,23,0,0
Sergio Escudero,752,0,1,27,0,0
Mariano,990,0,1,30,4,0
Diego González,7,0,0,21,0,0
T.  Kolodziejczak,270,0,0,25,1,0
G. Mercado,842,2,0,29,5,0
N. Pareja,865,1,0,32,3,0
A. Rami,554,0,0,30,2,0
B. Trémoulinas,0,0,0,30,0,0
Ganso,266,0,1,27,0,0
J. Correa,250,0,0,22,1,0
Antonio Cotán,0,0,0,21,0,0
Iborra,366,0,0,28,1,0
H. Kiyotake,285,1,2,27,0,0
M. Kranevitter,355,0,0,23,0,0
M. Krohn-Dehli,0,0,0,33,0,0
Vitolo,973,2,1,27,2,0
Daniel Carriço,274,0,0,28,2,0
S. N'Zonzi,990,2,0,27,2,0
S. Nasri,632,2,1,29,3,0
Pablo Sarabia,630,3,3,24,2,0
W. Ben Yedder,495,3,1,25,0,0
Carlos Fernández,88,1,0,20,0,0
F. Vázquez,875,2,1,27,3,0
L. Vietto,941,4,2,22,3,0
Sergio Asenjo,1260,0,0,27,0,0
M. Barbosa,0,0,0,32,0,0
Andrés Fernández,0,0,0,29,0,0
D. Bonera,0,0,0,35,0,0
Jaume Costa,1080,1,1,28,4,0
Álvaro González,270,0,0,26,1,0
B. Jokić,0,0,0,30,0,0
M. Musacchio,990,0,0,26,1,0
Mario Gaspar,1260,0,0,26,2,0
Víctor Ruíz,1260,0,0,27,2,0
A. Rukavina,90,0,0,32,0,0
José Ángel,90,0,0,27,1,0
Ramón Bueno,0,0,0,21,0,0
Samu Castillejo,1116,1,3,21,1,0
D. Cheryshev,197,0,0,25,0,0
J. dos Santos,454,0,0,26,0,0
Rodri Hernández,199,0,0,20,0,0
Pablo Larrea,0,0,0,22,0,0
A. N'Diaye,105,0,0,26,1,0
R. Soriano,1018,3,2,25,3,0
Bruno,1072,3,1,32,2,0
Trigueros,1241,2,1,25,1,0
C. Bakambu,389,2,0,25,1,0
R. Borré,179,0,1,21,0,0
Aitor Cantalapiedra,3,0,0,20,0,0
Mario González,0,0,0,20,0,0
Alexandre Pato,464,1,0,27,0,0
N. Sansone,1123,5,1,25,3,0
Soldado,0,0,0,31,0,0
L. Suárez,0,0,0,20,0,0
Ander Bardaji,0,0,0,21,0,0
Toño,0,0,0,30,0,0
G. Rulli,1080,0,0,24,2,0
Yuri,840,1,1,26,2,0
Aritz Elustondo,57,0,0,22,0,1
Mikel González,439,0,0,31,2,0
Litri,237,0,0,25,0,0
Íñigo Martínez,990,2,0,25,5,0
Carlos Martínez,540,0,2,30,1,0
Raúl Navas,720,0,1,28,0,0
Joseba Zaldúa,461,0,1,24,2,0
Bergara,190,0,0,30,0,0
Canales,121,0,0,25,1,0
Jon Gaztañaga,0,0,0,25,0,0
Granero,0,0,0,29,0,0
Illarramendi,1080,0,1,26,3,0
Rubén Pardo,159,0,0,24,0,0
Xabi Prieto,737,3,2,33,0,0
K. Rodrigues,0,0,0,22,0,0
Zurutuza,1003,3,0,30,3,0
Agirretxe,0,0,0,29,0,0
Jon Bautista,12,0,0,21,0,0
David Concha,86,0,0,20,0,0
Willian José,879,6,1,25,2,0
Juanmi,418,1,0,23,0,0
Mikel Oyarzabal,984,0,4,19,0,0
C. Vela,781,4,0,27,2,0
Kepa,540,0,0,22,0,0
Iago Herrerín,0,0,0,28,0,0
Iraizoz,540,0,0,35,0,0
Yeray Álvarez,470,0,0,21,0,0
Balenziaga,846,1,0,28,1,1
Bóveda,520,0,0,27,1,0
Elustondo,0,0,0,29,0,0
Etxeita,337,0,0,29,1,0
A. Laporte,990,1,0,22,3,0
Lekue,363,0,0,23,0,0
Saborit,125,0,0,24,0,0
San José,761,1,0,27,2,0
Ager Aketxe,0,0,0,22,0,0
De Marcos,703,0,1,27,1,0
Eraso,246,0,1,26,2,0
Beñat,696,0,2,29,3,0
Raúl García,897,4,1,30,4,0
Iturraspe,281,0,0,27,1,0
Mikel Rico,327,0,0,32,2,0
Susaeta,417,0,0,28,2,0
Mikel Vesga,195,0,0,23,0,0
Aduriz,867,5,1,35,3,0
Sabin,312,1,1,24,1,0
Muniain,416,1,1,23,2,0
Iñaki Williams,951,1,2,22,1,0
Roberto Jiménez,307,0,0,31,0,0
Diego López,3023,0,0,35,3,0
Andrés Prieto,0,0,0,23,0,0
Víctor Álvarez,196,0,0,24,1,0
Ó. Duarte,1123,0,0,27,4,0
Rubén Duarte,101,0,0,21,1,0
Aarón Martín,2496,0,0,20,5,0
Marc Navarro,699,2,1,21,0,0
D. Reyes,2799,1,0,24,2,0
P. Diop,899,0,0,31,6,0
Javi Fuego,2566,1,0,33,9,0
José Jurado,2369,3,3,30,1,0
Javi López,1525,0,1,31,3,0
David López,3150,3,2,27,3,0
Óscar Melendo,299,0,0,19,0,0
José Antonio Reyes,866,3,4,33,1,0
