name,minutes,goals,assists,age,yellow,red
M. Rojo,578,0,0,26,1,0
L. Shaw,526,0,0,21,0,0
C. Smalling,451,1,0,27,0,0
A. Tuanzebe,0,0,0,19,0,0
D. Blind,836,0,2,26,0,0
M. Carrick,372,0,0,35,0,0
M. Fellaini,703,0,0,29,6,0
T. Fosu-Mensah,0,0,0,18,0,0
Ander Herrera,924,0,2,27,3,0
J. Lingard,423,0,1,23,0,0
Mata,752,3,1,28,2,0
H. Mkhitaryan,300,1,0,27,1,0
P. Pogba,1260,2,1,23,5,0
M. Schneiderlin,11,0,0,27,0,0
B. Schweinsteiger,0,0,0,32,0,0
A. Valencia,1142,0,0,31,3,0
A. Young,235,0,0,31,1,0
M. Depay,20,0,0,22,1,0
Z. Ibrahimović,1260,8,0,35,4,0
A. Martial,540,1,3,21,0,0
M. Rashford,755,3,0,19,1,0
W. Rooney,649,1,4,31,4,0
J. Wilson,0,0,0,21,0,0
M. Hewelt,0,0,0,20,0,0
Joel Robles,90,0,0,26,0,0
M. Stekelenburg,1260,0,0,34,2,0
L. Baines,796,1,0,32,2,0
M. Bešić,0,0,0,24,0,0
T. Browning,0,0,0,22,0,0
S. Coleman,1057,2,0,28,2,0
Ramiro Funes Mori,555,0,0,25,0,0
M. Holgate,293,0,1,20,0,0
P. Jagielka,1080,0,0,34,2,0
B. Oviedo,477,0,0,26,3,0
M. Pennington,0,0,0,22,0,0
A. Williams,1179,0,0,32,2,0
R. Barkley,1021,2,1,23,2,0
G. Barry,1196,2,1,35,6,0
Y. Bolasie,1028,1,4,27,2,0
D. Calvert-Lewin,0,0,0,19,0,0
T. Cleverley,400,0,0,27,1,0
T. Davies,40,0,0,18,0,0
K. Dowell,0,0,0,19,0,0
D. Gibson,0,0,0,29,0,0
I. Gueye,1218,0,1,27,5,0
A. Lennon,185,0,1,29,0,0
J. McCarthy,323,0,0,26,1,0
Deulofeu,456,0,0,22,1,0
M. Donohue,0,0,0,19,0,0
A. Koné,43,0,0,33,0,0
R. Lukaku,1197,9,3,23,2,0
C. McAleny,0,0,0,24,0,0
K. Mirallas,868,1,1,29,1,0
O. Niasse,0,0,0,26,0,0
L. Rodríguez,0,0,0,24,0,0
E. Valencia,88,0,0,27,0,0
F. Forster,1350,0,0,28,2,0
H. Lewis,0,0,0,18,0,0
A. McCarthy,0,0,0,27,0,0
S. Taylor,0,0,0,36,0,0
Cédric Soares,825,0,0,25,1,0
R. Bertrand,798,0,1,27,2,0
José Fonte,1260,0,0,32,2,0
F. Gardoş,0,0,0,28,0,0
R. Martina,433,0,0,27,0,0
J. Stephens,0,0,0,22,0,0
M. Targett,284,0,0,21,0,0
V. van Dijk,1350,0,0,25,3,0
M. Yoshida,180,0,0,28,1,0
S. Boufal,288,1,0,23,1,0
J. Clasie,587,0,0,25,2,0
S. Davis,1074,0,1,31,1,0
J. Hesketh,0,0,0,20,0,0
P. Højbjerg,711,0,0,21,1,0
L. Isgrove,0,0,0,23,0,0
S. McQueen,288,0,0,21,0,0
J. Pied,11,0,0,27,0,0
N. Redmond,1278,3,0,22,1,0
H. Reed,12,0,0,21,0,0
Oriol Romeu,1272,0,0,25,4,0
J. Sims,115,0,1,19,0,0
D. Tadić,909,1,0,28,3,0
J. Ward-Prowse,382,1,2,22,0,0
C. Austin,871,6,1,27,1,0
S. Long,367,0,0,29,1,0
O. Olomola,0,0,0,19,0,0
J. Rodriguez,205,1,0,27,0,0
R. Allsop,0,0,0,24,0,0
A. Boruc,1170,0,0,36,1,0
A. Federici,180,0,0,31,1,0
J. Holmes,0,0,0,19,0,0
N. Aké,373,2,0,21,0,0
C. Buckley,0,0,0,20,0,0
S. Cook,1350,2,0,25,2,0
C. Daniels,1170,2,1,30,1,0
S. Francis,1350,0,1,31,3,0
O. Harfield,0,0,0,18,0,0
C. Jordan,0,0,0,17,0,0
J. Lee,0,0,0,19,0,0
T. Mings,0,0,0,23,0,0
A. Smith,1260,1,3,25,5,0
B. Smith,81,0,0,22,1,0
M. Wilson,0,0,0,29,0,0
H. Arter,1306,0,2,26,5,0
L. Cook,81,0,0,19,0,0
R. Fraser,330,1,1,22,0,0
D. Gosling,638,2,0,26,4,0
M. Gradel,90,0,0,29,1,0
E. Hyndman,0,0,0,20,0,0
J. Ibe,739,0,0,21,0,0
K. O'Connell,0,0,0,17,0,0
M. Pugh,18,0,1,29,0,0
J. Stanislas,716,3,3,27,1,0
A. Surman,810,0,0,30,1,0
J. Wilshere,805,0,0,24,2,0
B. Afobe,261,1,1,23,0,0
L. Grabban,57,0,1,28,0,0
J. King,993,2,1,24,1,0
L. Mousset,23,0,0,20,0,0
C. Wilson,1036,5,0,24,0,0
B. Foster,1350,0,0,33,0,0
G. Myhill,0,0,0,34,0,0
A. Palmer,0,0,0,20,0,0
J. Rose,0,0,0,21,0,0
C. Dawson,1350,0,0,26,5,0
J. Evans,1260,1,0,28,6,0
B. Galloway,248,0,0,20,0,0
G. McAuley,1350,3,0,37,3,0
A. Nyom,922,0,1,28,2,0
J. Olsson,321,0,0,33,2,0
K. Wilson,0,0,0,16,0,0
C. Brunt,589,1,1,31,2,0
N. Chadli,648,4,2,27,1,0
S. Field,166,0,0,18,1,0
D. Fletcher,1267,1,1,32,0,0
C. Gardner,200,0,1,30,1,0
J. McClean,657,1,1,27,5,0
C. McManaman,0,0,0,25,0,0
J. Morrison,514,2,1,30,2,0
M. Phillips,1132,3,4,25,0,0
H. Robson-Kanu,70,0,1,27,0,0
C. Yacob,1196,0,0,29,6,0
S. Berahino,245,0,0,23,1,0
J. Leko,82,0,1,17,0,0
S. Rondón,1271,4,2,27,0,0
D. Randolph,360,0,0,29,0,0
Adrián,990,0,0,29,1,0
R. Spiegel,0,0,0,23,0,0
Arbeloa,256,0,0,33,3,0
S. Byram,264,0,0,23,2,0
J. Collins,727,1,0,33,1,0
A. Cresswell,525,0,1,26,2,0
A. Masuaku,527,0,1,23,1,0
A. Ogbonna,1080,0,0,28,1,0
R. Oxford,0,0,0,17,0,0
A. Pike,0,0,0,19,0,0
W. Reid,1068,1,2,28,6,0
M. Antonio,1195,7,0,26,4,0
M. Browne,0,0,0,18,0,0
G. Diangana,0,0,0,18,0,0
S. Feghouli,128,0,0,26,1,0
E. Fernandes,313,0,0,20,2,0
C. Kouyaté,1170,0,0,26,1,0
M. Lanzini,917,3,0,23,1,0
Pedro Obiang,780,0,0,24,3,0
M. Noble,1153,0,0,29,4,0
H. Nordtveit,405,0,0,26,0,0
D. Payet,1086,2,5,29,1,0
Domingos Quina,0,0,0,17,0,0
G. Töre,241,0,1,24,0,0
A. Ayew,295,0,0,26,0,0
J. Calleri,129,0,0,23,0,0
A. Carroll,134,1,0,27,0,0
A. Fletcher,292,0,0,21,2,0
D. Sakho,127,1,0,26,0,0
S. Zaza,460,0,0,25,2,0
B. Hamer,0,0,0,29,0,0
K. Schmeichel,687,0,0,30,0,0
R. Zieler,663,0,0,27,0,0
Y. Benalouane,0,0,0,29,0,0
B. Chilwell,0,0,0,19,0,0
C. Fuchs,1328,1,1,30,4,0
Luis Hernández,236,0,0,27,0,0
R. Huth,1257,0,1,32,4,0
W. Morgan,1350,1,0,32,0,0
D. Simpson,1197,0,0,29,5,0
M. Wasilewski,0,0,0,36,0,0
M. Albrighton,868,0,0,27,1,0
D. Amartey,925,0,1,21,2,0
H. Barnes,0,0,0,19,0,0
D. Drinkwater,1069,0,1,26,1,0
D. Gray,228,1,1,20,1,0
M. James,0,0,0,25,0,0
B. Kapustka,0,0,0,19,0,0
A. King,713,1,0,28,0,0
N. Mendy,53,0,0,24,1,0
R. Mahrez,1177,3,2,25,3,0
A. Musa,486,2,0,24,1,0
S. Okazaki,631,2,0,30,1,0
J. Schlupp,139,0,0,23,0,0
I. Slimani,617,4,3,28,0,0
L. Ulloa,92,0,0,30,0,0
J. Vardy,1134,5,2,29,2,0
D. Bachmann,0,0,0,22,0,0
