team,country,name,minutes,goals,assists,age,position,yellow,red
Liverpool,England,O. Ejaria,3,0,0,19,M,0,0
Liverpool,England,M. Grujić,28,0,0,20,M,0,0
Liverpool,England,J. Henderson,1334,1,4,26,M,6,0
Liverpool,England,A. Lallana,883,4,5,28,M,1,0
Liverpool,England,J. Milner,1153,5,1,30,M,1,0
Liverpool,England,S. Ojo,0,0,0,19,M,0,0
Liverpool,England,Lucas Leiva,283,0,0,29,M,1,0
Liverpool,England,K. Stewart,16,0,0,23,M,0,0
Liverpool,England,G. Wijnaldum,1021,1,2,26,M,1,0
Liverpool,England,Roberto Firmino,1247,5,3,25,A,2,0
Liverpool,England,D. Ings,0,0,0,24,A,0,0
Liverpool,England,S. Mané,1210,7,4,24,A,2,0
Liverpool,England,D. Origi,340,3,0,21,A,0,0
Liverpool,England,D. Sturridge,379,0,1,27,A,1,0
Liverpool,England,B. Woodburn,0,0,0,17,A,0,0
Arsenal,England,P. Čech,1350,0,0,34,G,2,0
Arsenal,England,M. Macey,0,0,0,22,G,0,0
Arsenal,England,E. Martínez,0,0,0,24,G,0,0
Arsenal,England,D. Ospina,0,0,0,28,G,0,0
Arsenal,England,Bellerín,1055,0,2,21,D,1,0
Arsenal,England,M. Bola,0,0,0,19,D,0,0
Arsenal,England,Gabriel Paulista,254,0,0,26,D,1,0
Arsenal,England,M. Debuchy,16,0,0,31,D,0,0
Arsenal,England,K. Gibbs,134,0,1,27,D,1,0
Arsenal,England,R. Holding,270,0,0,21,D,1,0
Arsenal,England,C. Jenkinson,83,0,0,24,D,0,0
Arsenal,England,L. Koscielny,1260,2,0,31,D,2,0
Arsenal,England,P. Mertesacker,0,0,0,32,D,0,0
Arsenal,England,Nacho Monreal,1244,0,1,30,D,1,0
Arsenal,England,S. Mustafi,1015,0,1,24,D,3,0
Arsenal,England,K. Bielik,0,0,0,18,M,0,0
Arsenal,England,Santi Cazorla,619,2,2,31,M,2,0
Arsenal,England,F. Coquelin,915,0,0,25,M,3,0
Arsenal,England,J. Dasilva,0,0,0,18,M,0,0
Arsenal,England,Mohamed Elneny,449,0,1,24,M,0,0
Arsenal,England,A. Maitland-Niles,1,0,0,19,M,0,0
Arsenal,England,A. Oxlade-Chamberlain,621,2,4,23,M,0,0
Arsenal,England,M. Özil,1158,5,2,28,M,0,0
Arsenal,England,A. Ramsey,228,0,1,25,M,1,0
Arsenal,England,J. Reine-Adelaide,0,0,0,18,M,0,0
Arsenal,England,B. Sheaf,0,0,0,18,M,0,0
Arsenal,England,G. Xhaka,778,1,0,24,M,2,1
Arsenal,England,G. Zelalem,0,0,0,19,M,0,0
Arsenal,England,C. Akpom,0,0,0,21,A,0,0
Arsenal,England,O. Giroud,135,3,1,30,A,0,0
Arsenal,England,A. Iwobi,588,1,3,20,A,1,0
Arsenal,England,S. Mavididi,0,0,0,18,A,0,0
Arsenal,England,Lucas Pérez,87,0,0,28,A,0,0
Arsenal,England,A. Sánchez,1257,11,5,27,A,3,0
